RIAD_CODE;BIC;COUNTRY_OF_REGISTRATION;NAME;BOX;ADDRESS;POSTAL;CITY;CATEGORY;HEAD_COUNTRY_OF_REGISTRATION;HEAD_NAME;HEAD_RIAD_CODE;RESERVE;EXEMPT;RIAD_CODE2
DE02793;GENODEM1GBY;DE;Volksbank Ruhr Mitte eG;Postfach 2;Goldbergplatz 2-4;45894;Gelsenkirchen;Credit institution S122;;;;Y;N;DE02793
DE02794;GENODEM1BOG;DE;Volksbank Gemen eG;;Neumühlenallee 2;46325;Borken, Westf;Credit institution S122;;;;Y;N;DE02794
DE02795;GENODEM1GE1;DE;Volksbank Gescher eG;Postfach 1;Marktplatz 5;48712;Gescher;Credit institution S122;;;;Y;N;DE02795
DE02803;GENODEM1RKN;DE;Volksbank in der Hohen Mark eG;Postfach 1;Hauptstraße 13;48734;Reken;Credit institution S122;;;;Y;N;DE02803
DE02806;GENODEM1HGY;DE;Märkische Bank eG;Postfach 3;Bahnhofstraße 21;58095;Hagen, Westf;Credit institution S122;;;;Y;N;DE02806
DE02809;GENODEM1HLZ;DE;Volksbank Halle/Westf. eG;Postfach 1;Lange Straße 45 - 49;33790;Halle, Westf.;Credit institution S122;;;;Y;N;DE02809
DE02817;GENODEM1BAG;DE;BAG Bankaktiengesellschaft;Postfach 1;Gabelsbergerstr. 1a;59069;Hamm, Westf.;Credit institution S122;;;;Y;N;DE02817
DE02818;GENODEM1HEI;DE;Volksbank Heiden eG;Postfach 1;Bahnhofstr. 4a;46359;Heiden, Kr. Borken, Westfalen;Credit institution S122;;;;Y;N;DE02818
DE02836;GENODEM1HLX;DE;Volksbank Hohenlimburg eG;;Grünrockstraße 5;58119;Hagen, Westf.;Credit institution S122;;;;Y;N;DE02836
DE02842;GENODED1HTY;DE;Volksbank Krefeld eG;Postfach 1;Dionysiusplatz 23;47798;Krefeld;Credit institution S122;;;;Y;N;DE02842
DE02843;GENODED1FHY;DE;Volksbank Rhein-Erft-Köln eG;Postfach 8;Brabanter Platz;50354;Hürth, Rheinl.;Credit institution S122;;;;Y;N;DE02843
DE02845;GENODED1GDY;DE;Volksbank an der Niers eG;Postfach 1;Am Kapellhof 1;47608;Geldern;Credit institution S122;;;;Y;N;DE02845
DE02848;GENODED1KAA;DE;Raiffeisenbank Kaarst eG;Postfach 1;Neusser Str. 5;41564;Kaarst;Credit institution S122;;;;Y;N;DE02848
DE02851;GENODED1HRY;DE;Volksbank Heinsberg eG;Postfach 1;Siemensstraße 5;52525;Heinsberg, Rheinl.;Credit institution S122;;;;Y;N;DE02851
DE02854;GENODED1KMY;DE;Volksbank Kempen-Grefrath eG;Postfach 1;Burgstr. 8;47906;Kempen;Credit institution S122;;;;Y;N;DE02854
DE02856;GENODEM1KIY;DE;Volksbank Kierspe eG;Postfach 1;Friedrich-Ebert-Str. 257/259;58566;Kierspe;Credit institution S122;;;;Y;N;DE02856
