,gtin,return_code,company_prefix,name,street,postcode,city,sum_sales,query_date,isocode
0,4E+12,0,4000001,GS1 Germany GmbH,Maarweg 133,50825,Köln,1166255.87,29/10/2021 10:56,DEU
1,4.00001E+12,0,4000007,GS1 Germany GmbH,Maarweg 133,50825,Köln,39145.52,29/10/2021 10:56,DEU
2,4.00007E+12,0,4000068,Gewürze Markranstädt GmbH,Nordstr. 18,4420,Markranstädt,15358.03,29/10/2021 10:56,DEU
4,4.00012E+12,0,4000122,Hauser Weinimport GmbH,Neufnachstr. 32,86850,Fischach,933.9,29/10/2021 10:56,DEU
5,4.00013E+12,0,4000125,Home and Personal Care,Strandkai 1,20457,Hamburg,49325.08,29/10/2021 10:56,DEU
6,4.00013E+12,0,4000126,Stenger Waffeln GmbH,Nikolaus-Otto-Str.12,56727,Mayen,61725.76,29/10/2021 10:56,DEU
7,4.00013E+12,0,4000132,Dr. R. Baumann KG,Am Ordensschloß 15-21,74182,Obersulm,887.41,29/10/2021 10:56,DEU
8,4.00014E+12,0,4000137,Dr. Willi Knoll GmbH &amp; Co. KG Nährmittel- u. Konservenfabrik,Bahnhofstr. 92,86381,Krumbach,141526.42,29/10/2021 10:56,DEU
9,4.00014E+12,0,4000139,Systemhandel 2.0 GmbH,Oedenberger Str. 55-59,90491,Nürnberg,162915.58,29/10/2021 10:56,DEU
10,4.00014E+12,0,4000140,Schweppes Deutschland GmbH,Hagener Str. 261,57223,Kreuztal,6704.52,29/10/2021 10:56,DEU
11,4.00014E+12,0,4000142,BDG GmbH,Am Heilbrunnen 136-138,72766,Reutlingen,23869.12,29/10/2021 10:56,DEU
12,4.00014E+12,0,4000143,Donath-Kelterei &amp; Co. KG,J.-v.-Liebig-Str 10,85435,Erding,596.34,29/10/2021 10:56,DEU
13,4.00014E+12,0,4000144,Marten Fleischwarenfabrik GmbH &amp; Co. KG,Gewerbestr. 1,24860,Böklund,1201.96,29/10/2021 10:56,DEU
14,4.00015E+12,0,4000145,Dieter Hein GmbH &amp; Co. KG EG Fleischwarenfabrik,Hansastr. 8-10,49205,Hasbergen,34793.57,29/10/2021 10:56,DEU
18,4.00015E+12,0,4000151,GmbH &amp; Co. KG,Sudbrackstr. 37 a - 43,33611,Bielefeld,3143.38,29/10/2021 10:56,DEU
19,4.00015E+12,0,4000152,NIMCO Brands &amp; Liqueurs  d.o.o.,Sportska ul. 1,10437,Bestovje,6273.5,29/10/2021 10:56,DEU
20,4.00016E+12,0,4000155,Schokoladenfabrik,Industriestr. 29,61381,Friedrichsdorf,699.53,29/10/2021 10:56,DEU
97,4.00016E+12,0,4000161,J.G. Niederegger GmbH &amp; Co. KG,Zeißstr. 1-7,23560,Lübeck,385973.13,29/10/2021 10:59,DEU
98,4.00017E+12,0,4000168,Griesson - de Beukelaer GmbH &amp; Co. KG,August-Horch-Str. 23,56751,Polch,1187663.84,29/10/2021 10:59,DEU
99,4.00017E+12,0,4000171,Keiler Bier GmbH,Höchberger Str. 28,97082,Würzburg,48359.73,29/10/2021 10:59,DEU
121,4.00018E+12,0,4000177,Capri Sun GmbH,Rudolf-Wild-Str. 86-98,69214,Eppelheim,281208.35,29/10/2021 11:00,DEU
122,4.00019E+12,0,4000186,Leimer KG,Kotzinger Str. 16,83728,Traunstein,27093.67,29/10/2021 11:00,DEU
127,4.00019E+12,0,4000191,GmbH &amp; Co. KG,Brunnenallee 1,53332,Bornheim-Roisdorf,1353764.6,29/10/2021 11:00,DEU
128,4.00019E+12,0,4000194,Schokoladenwerke GmbH,Daimlerstr. 9,97209,Veitshöchheim,222822.15,29/10/2021 11:00,DEU
129,4.0002E+12,0,4000196,BURNUS GmbH,Rößlerstr. 94,64293,Darmstadt,1338085.75,29/10/2021 11:00,DEU
130,4.0002E+12,0,4000197,Franz G. Brendle GmbH &amp; Co. KG,Delpstr. 11,97084,Würzburg,53017.96,29/10/2021 11:00,DEU
131,4.0002E+12,0,4000198,H.D. Spielzeug Service Drieschmanns GmbH,Goethestraße 25,41061,Möchengladbach,11074,29/10/2021 11:00,DEU
132,4.0002E+12,0,4000201,Friedrich Schwarze GmbH &amp; Co. KG,Paulsburg 1-3,59302,Oelde,3061.26,29/10/2021 11:00,DEU
133,4.00021E+12,0,4000206,Intersnack Deutschland SE,Erna-Scheffler-Str. 3,51103,Köln,70418.81,29/10/2021 11:00,DEU
134,4.00021E+12,0,4000209,Kornbrennerei und Likörfabrik,Niederkasseler Str. 106,40547,Düsseldorf,72567.27,29/10/2021 11:00,DEU
135,4.00021E+12,0,4000211,Jahnke Süßwaren GmbH,Nikolaus-Otto-Str 8,24568,Kaltenkirchen,293.84,29/10/2021 11:00,DEU
136,4.00021E+12,0,4000212,Töpfer Feinkost GmbH &amp; Co. KG,Fasanengarten 11,86633,Neuburg/Donau,696.57,29/10/2021 11:00,DEU
137,4.00021E+12,0,4000213,Saline Luisenhall GmbH,Greitweg 48,37081,Göttingen,151491.74,29/10/2021 11:00,DEU
138,4.00022E+12,0,4000222,Keller Geister GmbH &amp; Co. KG,Rudolf-Diesel-Str. 7-9,54292,Trier/Mosel,1059285.95,29/10/2021 11:00,DEU
143,4.00024E+12,0,4000237,Hühnerhof Wiesengrund GmbH,Nürnberger Str. 64-68,86720,Nördlingen,3953.62,29/10/2021 11:01,DEU
144,4.00024E+12,0,4000240,ehem. Sprengel GmbH &amp; Co.,Industriestr. 31,51149,Köln,11032.26,29/10/2021 11:01,DEU
145,4.00024E+12,0,4000242,L + S Handels GmbH,Uthuiser Str. 19 a,48477,Hörstel-Dreierwalde,1370953.23,29/10/2021 11:01,DEU
146,4.00024E+12,0,4000243,RW-Warenhandels-GmbH,Borsigstr. 9,21465,Reinbek,5116279.14,29/10/2021 11:01,DEU
147,4.00025E+12,0,4000245,Berentzen-Gruppe AG,Ritterstr. 7,49740,Haselünne,24708.41,29/10/2021 11:01,DEU
148,4.00025E+12,0,4000246,Marten Fleischwarenfabrik GmbH &amp; Co. KG,Gewerbestr. 1,24860,Böklund,156317.62,29/10/2021 11:01,DEU
151,4.00025E+12,0,4000251,Lebenshilfe Nordssarland Werkstätte gGmbH ,Blättelbornweg 6,66663,Merzig,117825.16,29/10/2021 11:01,DEU
153,4.00026E+12,0,4000264,Griesson - de Beukelaer GmbH &amp; Co. KG,August-Horch-Str. 23,56751,Polch,0.85,29/10/2021 11:01,DEU
154,4.00027E+12,0,4000265,Intersnack Deutschland SE,Erna-Scheffler-Str. 3,51103,Köln,388672.14,29/10/2021 11:01,DEU
164,4.00027E+12,0,4000269,Weinbrennerei - Likörfabrik,J.-v.-Liebig-Str 12,85435,Erding,35539.19,29/10/2021 11:01,DEU
165,4.00027E+12,0,4000270,F. Anton Kesper GmbH Holz-Erzeugnisse,Im Gewerbepark 1,34508,Willingen,2584.67,29/10/2021 11:01,DEU
166,4.00027E+12,0,4000274,"Destillerie Hoermann Brennerei, Destillerie u. Likörfabrik",Seestr. 5a,83727,Schliersee,22.44,29/10/2021 11:01,DEU
167,4.00028E+12,0,4000276,Ludwig Schokolade GmbH &amp; Co.KG,Senefelderstr. 44,51469,Bergisch-Gladbach,58217.64,29/10/2021 11:02,DEU
170,4.00028E+12,0,4000281,Piasten GmbH,Piastenstr. 1,91301,Forchheim,1452.58,29/10/2021 11:02,DEU
171,4.00028E+12,0,4000282,Nestlé Kaffee und Schokoladen GmbH,Lyoner Str. 23,60528,Frankfurt am Main,14592.25,29/10/2021 11:02,DEU
172,4.00028E+12,0,4000283,H. Krisch GmbH,Paulsburg 1-3,59302,Oelde,9834.52,29/10/2021 11:02,DEU
219,4.00029E+12,0,4000290,GmbH &amp; Co. oHG,Mallaustr. 50-56,68219,Mannheim,1366409.41,29/10/2021 11:03,DEU
220,4.0003E+12,0,4000298,Unilever Deutschland GmbH Customer Development Operations,Neue Burg 1,20457,Hamburg,1466.43,29/10/2021 11:03,DEU
222,4.00031E+12,0,4000307,Alsitan GmbH,Gewerbering 6,86926,Greifenberg,41.94,29/10/2021 11:03,DEU
223,4.00032E+12,0,4000317,pflegemittel GmbH,Hamburger Str. 5,40221,Düsseldorf,995336.29,29/10/2021 11:03,DEU
657,4.00033E+12,0,4000325,Binckebanck GmbH Fleischwarenfabrik,Wolmersdorfer Str.,25704,Meldorf,70445.11,29/10/2021 11:22,DEU
658,4.00034E+12,0,4000339,Mondelez Deutschland GmbH GB Mondelez,Konsul-Smidt-Str. 21,28217,Bremen,6305805.51,29/10/2021 11:22,DEU
659,4.00035E+12,0,4000345,Hügli Nahrungsmittel GmbH,Güttinger Str. 23,78315,Radolfzell,13354.93,29/10/2021 11:22,DEU
660,4.00035E+12,0,4000349,Münsterland J. Lülf GmbH,Midlicher Str. 7,48720,Rosendahl,2178798.91,29/10/2021 11:22,DEU
661,4.00035E+12,0,4000351,Oelmühle GmbH + Co.,Hafenstr. 83,59067,Hamm,6846.6,29/10/2021 11:22,DEU
666,4.00036E+12,0,4000358,PEMA-Vollkorn-Spezialitäten Heinrich Leupoldt KG,Goethestr. 23,95163,Weißenstadt,65854.46,29/10/2021 11:22,DEU
667,4.00037E+12,0,4000368,Henkell &amp; Co. Sektkellerei KG,Biebricher Allee 142,65187,Wiesbaden,545370.39,29/10/2021 11:22,DEU
668,4.00037E+12,0,4000372,gpi green partners international GmbH &amp; Co. KG,Rockwoolstr. 14,45966,Gladbeck,41937.35,29/10/2021 11:22,DEU
675,4.00038E+12,0,4000379,Pertzborn GmbH &amp; Co. KG,Rheinstr. 1,53560,Vettelschoß,18093.81,29/10/2021 11:22,DEU
676,4.00038E+12,0,4000381,Huober-Brezel GmbH &amp; Co. Erste Württ. Brezelfabrik,Riedstr. 1,71729,Erdmannhausen,1220627.39,29/10/2021 11:22,DEU
677,4.00038E+12,0,4000382,FDF Flensb. Dragee-Fabrik GmbH &amp; Co.KG,Harnishof 1+2,24937,Flensburg,35990.94,29/10/2021 11:22,DEU
678,4.00039E+12,0,4000385,Staatsweingüter Rheinland-Pfalz,Wormser Str. 162,55276,Oppenheim,217.73,29/10/2021 11:22,DEU
679,4.00039E+12,0,4000388,Home and Personal Care,Strandkai 4,20457,Hamburg,632396.01,29/10/2021 11:22,DEU
681,4.00039E+12,0,4000392,Fashion Knit industries Europe GmbH,Hünegräben 17c,57392,Schmallenberg,8288.92,29/10/2021 11:22,DEU
682,4.00039E+12,0,4000393,p,Hans-Redlefsen-Str. 1,24986,Mittelangeln OT Satrup,14.99,29/10/2021 11:22,DEU
683,4.0004E+12,0,4000398,BUCK GmbH &amp; Co. KG Nudelspezialitäten,Mühlstr. 8-10,88512,Mengen,59.9,29/10/2021 11:22,DEU
684,4.0004E+12,0,4000400,Unilever Deutschland GmbH Customer Development Operations,Neue Burg 1,20457,Hamburg,55283.09,29/10/2021 11:22,DEU
685,4.0004E+12,0,4000401,Arnold Holste Wwe. GmbH &amp; Co. KG,Sudbrackstr. 3,33611,Bielefeld,1515.64,29/10/2021 11:23,DEU
774,4.00041E+12,0,4000405,Rügenwalder Wurstfabrik Carl Müller GmbH &amp; Co. KG,Industriestraße 5,26160,Bad Zwischenahn,121260.72,29/10/2021 11:26,DEU
823,4.00041E+12,0,4000410,Nicco Werk GmbH,Zweifaller Str. 120,52224,Stolberg,4.98,29/10/2021 11:27,DEU
824,4.00041E+12,0,4000411,ehem. Waldbaur Feine Schokoladen GmbH,Industriestr. 31,51149,Köln,80439.49,29/10/2021 11:27,DEU
825,4.00041E+12,0,4000412,Grafschafter Krautfabrik Josef Schmitz KG,Wormersdorfer Str. 22-26,53340,Meckenheim,16454511.83,29/10/2021 11:27,DEU
826,4.00042E+12,0,4000415,Ludwig Schokolade GmbH &amp; Co.KG,Senefelderstr. 44,51469,Bergisch-Gladbach,220.38,29/10/2021 11:28,DEU
827,4.00042E+12,0,4000417,Alfred Ritter GmbH &amp; Co. KG Schokoladenfabrik,Alfred-Ritter-Str. 25,71111,Waldenbuch,227866.59,29/10/2021 11:28,DEU
828,4.00042E+12,0,4000419,Hans Röser Weinbau-Weingroßkellerei,Mainstockheimer Str.19,97318,Kitzingen,8573.86,29/10/2021 11:28,DEU
846,4.00043E+12,0,4000426,Rübezahl Schokoladen GmbH,Dieselstraße. 9,73265,Dettingen,98957.96,29/10/2021 11:28,DEU
847,4.00043E+12,0,4000430,Karl Otto Werz Naturkorn Mühle GmbH &amp; Co.KG,Stäffeleswiesen 28,89522,Heidenheim,1252.67,29/10/2021 11:28,DEU
848,4.00043E+12,0,4000432,Teusser Mineralbrunnen Karl Rössle GmbH &amp; Co. KG,Teusserbadstr. 33,74245,Löwenstein,4342.93,29/10/2021 11:28,DEU
888,4.00044E+12,0,4000436,Molkerei Ammerland eG,Oldenburger Landstr. 1 a,26215,Wiefelstede,2858614.47,29/10/2021 11:30,DEU
889,4.00044E+12,0,4000439,Peterhaus Brennerei GmbH,Grüner Winkel 32,77876,Kappelrodeck,19.8,29/10/2021 11:30,DEU
890,4.00045E+12,0,4000445,Schneekoppe GmbH,Parkstrasse 1,21244,Buchholz i.d.N.,162.35,29/10/2021 11:30,DEU
891,4.00045E+12,0,4000446,Mestemacher GmbH,Am Anger 16,33332,Gütersloh,13249098.44,29/10/2021 11:30,DEU
893,4.00046E+12,0,4000459,Obstsaftkelterei Josef Möller GmbH &amp; Co KG,Forststraße 7,45659,Recklinghausen,18482.19,29/10/2021 11:30,DEU
906,4.00047E+12,0,4000470,Josef Bernbacher &amp; Sohn GmbH &amp; Co. KG,Lise-Meitner-Str. 5,85662,Hohenbrunn,132401.55,29/10/2021 11:30,DEU
907,4.00047E+12,0,4000471,KARAVELA SIA,Atlantijas 15,LV-1015,Riga,334781.85,29/10/2021 11:30,DEU
908,4.00047E+12,0,4000472,Herta GmbH,Kred. 614170 Westerholter Str. 750 - 770,45701,Herten,206.16,29/10/2021 11:30,DEU
909,4.00048E+12,0,4000475,GoodMills Deutschland GmbH Aurora Mühle Hamburg ,Trettaustraße 49,21107,Hamburg,289022.71,29/10/2021 11:30,DEU
910,4.00049E+12,0,4000486,H. Heydt GmbH &amp; Co. KG Private Kornbrennerei ,Neustadtstr. 11,49740,Haselünne,444035.08,29/10/2021 11:31,DEU
911,4.00049E+12,0,4000487,Nestlé Purina PetCare Deutschland GmbH,Albert-Latz-Str. 6,53879,Euskirchen,1654298.93,29/10/2021 11:31,DEU
912,4.00049E+12,0,4000491,Tee-Import,Postfach 140,26491,Norden,18869.82,29/10/2021 11:31,DEU
913,4.00049E+12,0,4000492,CSM Deutschland GmbH,Theodor-Heuss-Allee 8,28215,Bremen,66.39,29/10/2021 11:31,DEU
914,4.00049E+12,0,4000493,I. Schmidt Handelsgesellschaft mbH,Scharfe Lanke 109-131,13595,Berlin,1021.02,29/10/2021 11:31,DEU
915,4.0005E+12,0,4000501,Affentaler Winzer eG,Betschgräblerplatz,77815,Bühl,2003.08,29/10/2021 11:31,DEU
916,4.0005E+12,0,4000503,Meica Ammerländische Fleischwarenfabrik,Meicastr. 6,26188,Edewecht,152.69,29/10/2021 11:31,DEU
917,4.0005E+12,0,4000504,Käserei-Champignon Hofmeister GmbH &amp; Co. KG,Kemptener Str. 17-24,87493,Lauben,2916421.93,29/10/2021 11:31,DEU
918,4.00051E+12,0,4000508,Jacobs Douwe Egberts DE GmbH ,Langemarckstr. 4-20,28199,Bremen,25425.69,29/10/2021 11:31,DEU
919,4.00051E+12,0,4000511,Waffelbäckerei Walter Schuh GmbH,Rüdigerstr. 6,44319,Dortmund,845898.61,29/10/2021 11:31,DEU
920,4.00051E+12,0,4000512,Trolli  GmbH,Oststr. 94,90763,Fürth,390298.4,29/10/2021 11:31,DEU
921,4.00052E+12,0,4000515,SCHAMEL Meerrettich GmbH &amp; Co.KG,Johann-Jakob-Schamel-Platz 1,91083,Baiersdorf,3625757.8,29/10/2021 11:31,DEU
922,4.00052E+12,0,4000521,Dr. August Oetker Nahrungsmittel KG,Lutterstr. 14,33617,Bielefeld,1659720.68,29/10/2021 11:31,DEU
923,4.00052E+12,0,4000522,Intersnack Deutschland SE,Erna-Scheffler-Str. 3,51103,Köln,206127.47,29/10/2021 11:31,DEU
924,4.00053E+12,0,4000526,Bimmerle KG,Önsbacher Str. 40,77855,Achern,484.89,29/10/2021 11:31,DEU
925,4.00054E+12,0,4000536,Conrad Schulte GmbH &amp; Co. KG Feingebäck,Bentelerstr. 9,33397,Rietberg,2067.93,29/10/2021 11:31,DEU
926,4.00054E+12,0,4000538,Hofmeister Käsewerk GmbH &amp; Co. KG,Molkereistr. 23,85368,Moosburg,6065.34,29/10/2021 11:31,DEU
1969,4.00054E+12,0,4000541,Dr. Schär Deutschland GmbH,Simmerweg 12,35085,Ebsdorfergrund,140776.19,29/10/2021 12:08,DEU
1970,4.00054E+12,0,4000542,Moet Hennessy Deutschland GmbH,Seidlstr. 23,80335,München,22534.31,29/10/2021 12:08,DEU
1971,4.00055E+12,0,4000547,Friedrich Lütvogt GmbH &amp; Co. KG,Hauptstr. 84,49419,Wagenfeld,35.64,29/10/2021 12:08,DEU
1972,4.00055E+12,0,4000550,Mondelez Deutschland GmbH,Konsul-Smidt-Str. 21,28217,Bremen,689487.44,29/10/2021 12:08,DEU
1973,4.00056E+12,0,4000555,Marke Kandi,Römermauer 3,54634,Bitburg,778929.65,29/10/2021 12:08,DEU
1974,4.00057E+12,0,4000573,Alfred Eisert Weinkellerei GmbH,Sonnenbergstr. 7,63867,Johannesberg,19052.84,29/10/2021 12:08,DEU
1975,4.00058E+12,0,4000576,W. Pelz GmbH &amp; Co. KG,Willy-Pelz-Str. 8-9,23812,Wahlstedt,918.49,29/10/2021 12:08,DEU
1976,4.00058E+12,0,4000578,Landmetzgerei Schmutz GbR,Langestr. 25,89150,Laichingen- Feldstetten,5269.88,29/10/2021 12:08,DEU
1977,4.00058E+12,0,4000579,Unilever Deutschland GmbH Customer Development Operations,Neue Burg 1,20457,Hamburg,68.59,29/10/2021 12:08,DEU
1978,4.00058E+12,0,4000582,Herta GmbH,Kred. 614170 Westerholter Str. 750 - 770,45701,Herten,70322.97,29/10/2021 12:08,DEU
1981,4.00059E+12,0,4000591,Enders Colsman AG,Brauck,58791,Werdohl,5481.63,29/10/2021 12:08,DEU
1982,4.0006E+12,0,4000602,Dr. Becher GmbH,Vor den Specken 3,30926,Seelze,213.72,29/10/2021 12:08,DEU
1983,4.0006E+12,0,4000603,Metrox-Service Sp. z o.o.,Jagiellonska 55,83-110,Tczew,5123.03,29/10/2021 12:09,DEU
1984,4.00061E+12,0,4000607,Ludwig Schokolade GmbH &amp; Co.KG,Senefelderstr. 44,51469,Bergisch-Gladbach,19016.85,29/10/2021 12:09,DEU
1985,4.00061E+12,0,4000609,Ludwig Schokolade GmbH &amp; Co.KG,Senefelderstr. 44,51469,Bergisch-Gladbach,335005.24,29/10/2021 12:09,DEU
1986,4.00061E+12,0,4000610,L. StroetmannSaat GmbH &amp; Co. KG,Harkortstr. 30,48163,Münster,11380.25,29/10/2021 12:09,DEU
1987,4.00061E+12,0,4000611,BARILLA Deutschland GmbH,Gustav-Heinemann-Ufer 72c,50968,Köln,1.79,29/10/2021 12:09,DEU
1989,4.00062E+12,0,4000624,Sauerkraut GmbH Hufelschulte,Weststr. 50,59457,Werl,567819.24,29/10/2021 12:09,DEU
1992,4.00065E+12,0,4000646,Roßberg Teigwaren GmbH &amp; Co.KG,Freiherr-von-Stein-Str. 3,72116,Mössingen,155983.22,29/10/2021 12:09,DEU
1993,4.00065E+12,0,4000647,PE.WE. GmbH,Heinrich-Hertz-Strasse 3,59348,Lüdinghausen,906978.25,29/10/2021 12:09,DEU
1994,4.00065E+12,0,4000650,Fude + Serrahn Milchprodukte GmbH &amp; Co. KG,Englische Planke 2,20459,Hamburg,13730999.83,29/10/2021 12:09,DEU
1995,4.00065E+12,0,4000653,Bäckerei Schiffer GmbH &amp; Co.KG,St.-Benedikt-Str. 10,97072,Würzburg,11246.28,29/10/2021 12:09,DEU
1997,4.00067E+12,0,4000674,Carl Kühne KG (GmbH &amp; Co.),Kühnehöfe 11,22761,Hamburg,55029.83,29/10/2021 12:09,DEU
1998,4.00068E+12,0,4000675,Schwarzwald-Kellerei F.W. Schneider &amp; Co.,Trompeterstr. 2 - 4,77876,Kappelrodeck,9529.19,29/10/2021 12:09,DEU
1999,4.00068E+12,0,4000680,Bayer CropScience Deutschland GmbH,Elisabeth-Selbert-Str. 4a,40764,Langenfeld,76.93,29/10/2021 12:09,DEU
2062,4.00073E+12,0,4000732,Hochdorfer Kronenbrauerei Otto Haizmann KG,Rottweiler Str. 16 - 20,72202,Nagold,148626.51,29/10/2021 12:11,DEU
2063,4.00074E+12,0,4000735,WEPA Deutschland GmbH &amp; Co. KG ,Rönkhauser Str. 26,59757,Arnsberg,346005.3,29/10/2021 12:11,DEU
2064,4.00074E+12,0,4000741,Lippetaler Frischkäserei GmbH,Gewerbestr. 15,59192,Bergkamen,410635.8,29/10/2021 12:11,DEU
2065,4.00074E+12,0,4000742,Heimatsmühle GmbH &amp; Co. Max Ladenburger Söhne,Heimatsmühle 1,73430,Aalen,2715.46,29/10/2021 12:11,DEU
2066,4.00075E+12,0,4000746,Hohmann-Brot GmbH &amp; Co. KG Großbäckerei,Neue Gasse 15,97289,Thüngen,42770.22,29/10/2021 12:11,DEU
2221,4.00076E+12,0,4000761,Prümtaler Mühlenbäckerei Hahn &amp; Söhne GmbH,Hahnengasse 15,54597,Lünebach,19404.72,29/10/2021 12:17,DEU
2222,4.00076E+12,0,4000763,Wilhelm Zähringer GmbH Weingut - Weinkellerei,Johanniterstr. 61,79423,Heitersheim,27268.3,29/10/2021 12:17,DEU
2223,4.00077E+12,0,4000767,Rexim Lebensmittelproduktion KG,Wittenberger Weg 9,24941,Flensburg,111421.27,29/10/2021 12:17,DEU
2224,4.00077E+12,0,4000768,B+F Bakery &amp; Food GmbH,Eschenstr. 5,33154,Salzkotten,37082.59,29/10/2021 12:17,DEU
2225,4.00078E+12,0,4000784,NICO Frischprodukte Vertriebsgesellschaft mbH,Alte Landstr. 14,22962,Siek,3881.17,29/10/2021 12:17,DEU
2226,4.00079E+12,0,4000789,Plukon GmbH,Ahlhorner Str. 98,49429,Visbek,265345.53,29/10/2021 12:17,DEU
2227,4.0008E+12,0,4000799,WERTFORM GmbH,Cafeastr. 1,21107,Hamburg,508.2,29/10/2021 12:17,DEU
2228,4.00081E+12,0,4000808,Götz-Brot GmbH &amp; Co. KG,Industriestr. 2,97297,Waldbüttelbrunn,40980.6,29/10/2021 12:17,DEU
2229,4.00081E+12,0,4000810,Landmann Germany GmbH,Stormarnring 14,22145,Stapelfeld,410.23,29/10/2021 12:17,DEU
2230,4.00081E+12,0,4000811,Fürstlich von Bismarck´sche Brennerei GmbH,Biebricher Allee 142,65187,Wiesbaden,8442528.12,29/10/2021 12:17,DEU
2232,4.00082E+12,0,4000819,DIBO Tierkost GmbH,Massiefen 25,51399,Burscheid,398.43,29/10/2021 12:17,DEU
2248,4.00083E+12,0,4000832,Spezialitäten GmbH,Heinkelstr. 11,30827,Garbsen,13685.79,29/10/2021 12:18,DEU
2249,4.00084E+12,0,4000835,Anne Schulte Berge,Einener Dorfbauerschaft 24,48231,Warendorf,54621.33,29/10/2021 12:18,DEU
2250,4.00084E+12,0,4000837,Karl Oexle Teigwaren e.K. Inh. Wolfgang Oexle,Wiesenstr. 9,87766,Memmingerberg,100094.86,29/10/2021 12:18,DEU
2251,4.00084E+12,0,4000843,Fischer Süßwaren GmbH,Diepholzer Str.80,27232,Sulingen,8277.94,29/10/2021 12:18,DEU
2281,4.00085E+12,0,4000848,Boral GmbH,Waldstr. 99,61191,Rosbach v. d. H.,22482.9,29/10/2021 12:19,DEU
2294,4.00086E+12,0,4000856,Warsteiner Brauerei Haus Cramer KG,Domring 4-10,59581,Warstein,24461.81,29/10/2021 12:20,DEU
2295,4.00087E+12,0,4000869,ORO-Produkte Marketing International GmbH,Im Hengstfeld 47,32657,Lemgo,26321.5,29/10/2021 12:20,DEU
2296,4.00088E+12,0,4000876,Tacken GmbH,Vogelsrather Weg 1-5,41366,Schwalmtal,124468.66,29/10/2021 12:20,DEU
2297,4.00088E+12,0,4000880,GmbH &amp; Co. KG,Salinenstr. 16,74177,Bad Friedrichshall,283106.88,29/10/2021 12:20,DEU
2298,4.00088E+12,0,4000881,Rexim Lebensmittelproduktion KG,Wittenberger Weg 9,24941,Flensburg,1342.6,29/10/2021 12:20,DEU
2299,4.0009E+12,0,4000895,Euro-Service-Vertrieb GmbH,Brändströmstr. 9-11,42289,Wuppertal,2595.4,29/10/2021 12:20,DEU
2300,4.0009E+12,0,4000904,Achkarren eG,Schlossbergstr. 2,79235,Vogtsburg,13950.3,29/10/2021 12:20,DEU
2332,4.00093E+12,0,4000926,VILLAGE Cosmetics GmbH &amp; Co. KG,Terlaner Str. 12,86165,Augsburg,52322.28,29/10/2021 12:21,DEU
2333,4.00093E+12,0,4000930,Ponnath -Die Meistermetzger- GmbH,Bayreuther Str. 40,95478,Kemnath,2471340.79,29/10/2021 12:21,DEU
2397,4.00095E+12,0,4000950,SchapfenMühle GmbH &amp; Co. KG,Franzenhauserweg 21,89081,Ulm,1738077.64,29/10/2021 12:23,DEU
2399,4.00096E+12,0,4000956,Rüdesheimer Confiserie Pralinen GmbH + Co. KG,Ludwigstr. 10-12,83435,Bad Reichenhall,1421.4,29/10/2021 12:23,DEU
2452,4.00097E+12,0,4000974,PROFI System-Getränke-Logistik GmbH &amp; Co. KG,Hofrat-Röhrer-Str. 7,86161,Augsburg,1070.07,29/10/2021 12:25,DEU
2453,4.00098E+12,0,4000980,Molkerei Gropper GmbH &amp; Co.KG,Am Mühlberg 2,86657,Bissingen,1102316.9,29/10/2021 12:25,DEU
2454,4.00098E+12,0,4000981,genossenschaft Ihringen eG,Winzerstr 6,79241,Ihringen,12963.3,29/10/2021 12:25,DEU
2455,4.00099E+12,0,4000987,Amosvital Pharma- und Nahrungsmittel GmbH,Romaneystr. 11,51063,Köln,14766.58,29/10/2021 12:25,DEU
2456,4.001E+12,0,4000996,L.W.C. Michelsen GmbH,Michelsenweg 1,20537,Hamburg,1635.91,29/10/2021 12:25,DEU
2457,4.001E+12,0,4000998,Schloßkellerei Ramelsberg Betriebs-GmbH,Schloßberg 21,94513,Schönberg,1876.72,29/10/2021 12:25,DEU
2458,4.001E+12,0,4000999,Drinks Selection Rüdiger Hobe   ,Richard-Suhr-Siedlung 43,18311,Ribnitz-Damgarten,18639.36,29/10/2021 12:25,DEU
2459,4.001E+12,0,4001003,Detia Freyberg GmbH,Dr.-Werner-Freyberg-Str. 11,69514,Laudenbach,246.74,29/10/2021 12:25,DEU
2465,4.00103E+12,0,4001029,Brauerei Zoller-Hof Graf-Fleischhut GmbH &amp; Co. KG,Leopoldstr. 40,72488,Sigmaringen,119448.91,29/10/2021 12:26,DEU
2466,4.00103E+12,0,4001034,Allgäu Fresh Foods GmbH &amp; Co. KG,Ursulasrieder Str. 2,87437,Kempten (Allgäu),162.25,29/10/2021 12:26,DEU
2467,4.00105E+12,0,4001052,Alte Hausbrennerei Penninger GmbH,Saßbach 2,94065,Waldkirchen,43496.08,29/10/2021 12:26,DEU
2468,4.00106E+12,0,4001059,Vintage Weinkeller GmbH,August-Horch-Str. 24,56812,Cochem,10038098.99,29/10/2021 12:26,DEU
2469,4.00107E+12,0,4001065,PARSA Haar- und Modeartikel GmbH,Hummelberg 6,74889,Sinsheim,17095.95,29/10/2021 12:26,DEU
2470,4.00107E+12,0,4001068,Walter Schmidt Chemie GmbH,Kurfürstendamm 119,10711,Berlin,129181.62,29/10/2021 12:26,DEU
2472,4.00109E+12,0,4001091,Steinhaus &amp; Co. Konserven GmbH,Hildegardstr. 8,42897,Remscheid,313725.44,29/10/2021 12:26,DEU
